담당 파트,우선순위,도메인,구분,메서드,경로,기능,인증,경로 파라미터,쿼리 파라미터,요청 바디,응답 data,설명,구현 상태,선행 작업,컨트롤러
B. 계정·마이페이지,1,06. Account,사용자,POST,/api/v1/accounts/me/payment-methods,결제수단 등록,로그인,,,"PaymentMethodCreateRequest: methodType*, card{cardBrand*, cardNumber*, expiryMonth*, expiryYear*, cvc*, cardHolder*}, easyPay{provider*}",PaymentMethodResponse,최대 3개까지 등록할 수 있습니다. 첫 등록분이 기본 결제수단이 됩니다. CVC는 저장하지 않습니다.,스켈레톤,-,AccountController
B. 계정·마이페이지,1,06. Account,사용자,DELETE,/api/v1/accounts/me/payment-methods/{paymentMethodId},결제수단 삭제,로그인,paymentMethodId*,,,없음,미납 정산이 남아 있는 기본 결제수단은 삭제할 수 없습니다.,스켈레톤,-,AccountController
B. 계정·마이페이지,1,06. Account,사용자,PUT,/api/v1/accounts/me/payment-methods/{paymentMethodId}/default,기본 결제수단 설정,로그인,paymentMethodId*,,,PaymentMethodResponse[],기존 기본 결제수단은 자동으로 해제됩니다.,스켈레톤,-,AccountController
A. 공통·기반,1,17. Notification,사용자,DELETE,/api/v1/notifications,알림 모두 삭제,로그인,,,,없음,,스켈레톤,-,NotificationController
A. 공통·기반,1,17. Notification,사용자,GET,/api/v1/notifications,알림 목록,로그인,,"unreadOnly, page, size",,PageResponseNotificationResponse,unreadOnly=true 면 읽지 않은 알림만 반환합니다.,스켈레톤,-,NotificationController
A. 공통·기반,1,17. Notification,사용자,PUT,/api/v1/notifications/read-all,알림 모두 읽음 처리,로그인,,,,없음,,스켈레톤,-,NotificationController
A. 공통·기반,1,17. Notification,사용자,GET,/api/v1/notifications/unread-count,읽지 않은 알림 수,로그인,,,,UnreadCountResponse,헤더 배지에 사용합니다.,스켈레톤,-,NotificationController
A. 공통·기반,1,17. Notification,사용자,DELETE,/api/v1/notifications/{notificationId},알림 삭제,로그인,notificationId*,,,없음,,스켈레톤,-,NotificationController
A. 공통·기반,1,17. Notification,사용자,PUT,/api/v1/notifications/{notificationId}/read,알림 읽음 처리,로그인,notificationId*,,,없음,,스켈레톤,-,NotificationController
B. 계정·마이페이지,1,20. Freelancer,사용자,GET,/api/v1/freelancers/me,마이페이지 조회,FREELANCER,,,,FreelancerMyPageResponse,계정 정보와 등급·평점 요약을 함께 반환합니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,PATCH,/api/v1/freelancers/me,마이페이지 수정,FREELANCER,,,"FreelancerProfileUpdateRequest: currentPassword, profileFileId, phone, address, aiMatchingAgreed*",FreelancerMyPageResponse,이름·생년월일·이메일은 수정할 수 없습니다. 비밀번호 변경은 PATCH /api/v1/auth/password 를 사용합니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,GET,/api/v1/freelancers/me/condition,내 조건 조회,FREELANCER,,,,FreelancerConditionResponse,등록하지 않았으면 data 가 null 입니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,PUT,/api/v1/freelancers/me/condition,내 조건 등록/수정,FREELANCER,,,"FreelancerConditionRequest: jobCategory*, jobRole*, affiliation, workStyle*, workForm*, payUnit*, payAmount*, minAcceptAmount, availableFrom, startNegotiable, periodValue, periodUnit*, hasFreelanceExperience*, careerYears, skills*{skillCode*, skillLevel*}[]",FreelancerConditionResponse,없으면 생성하고 있으면 덮어씁니다. 저장 후 임베딩이 갱신됩니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,GET,/api/v1/freelancers/me/matching-settings,매칭 설정 조회,FREELANCER,,,,MatchingSettingsResponse,,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,PUT,/api/v1/freelancers/me/matching-settings,매칭 설정 변경,FREELANCER,,,"MatchingSettingsRequest: aiMatchingAgreed*, matchingPaused*",MatchingSettingsResponse,매칭을 중지해도 이미 진행 중인 매칭과 협상은 그대로 이어집니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,GET,/api/v1/freelancers/me/portfolios,내 포트폴리오 목록,FREELANCER,,,,PortfolioResponse[],정렬 순서대로 반환합니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,POST,/api/v1/freelancers/me/portfolios,포트폴리오 등록,FREELANCER,,,"PortfolioRequest: title*, description, fileId, linkUrl",PortfolioResponse,파일과 링크 중 최소 하나는 필요합니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,DELETE,/api/v1/freelancers/me/portfolios/{portfolioId},포트폴리오 삭제,FREELANCER,portfolioId*,,,없음,,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,PUT,/api/v1/freelancers/me/portfolios/{portfolioId},포트폴리오 수정,FREELANCER,portfolioId*,,"PortfolioRequest: title*, description, fileId, linkUrl",PortfolioResponse,,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,GET,/api/v1/freelancers/me/resume,내 이력서 조회 (조건 포함),FREELANCER,,,,FreelancerResumePageResponse,마이페이지 '내 이력서' 화면이 한 번에 그릴 수 있도록 희망 조건과 이력서를 함께 반환합니다. 저장은 조건과 이력서를 따로 호출합니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,PUT,/api/v1/freelancers/me/resume,내 이력서 등록/수정,FREELANCER,,,"ResumeRequest: profileFileId*, contactPhone, contactEmail, address*, selfIntroduction*, portfolioFileId*, educations*{startDate*, endDate, schoolName*, major, graduationStatus*, campusType}[], careers*{startDate*, endDate, companyName*, departmentRank, jobDescription}[], certificates{acquiredDate*, name*, issuerScore, note}[], links{url*}[]",ResumeResponse,필수 항목을 모두 채우면 상태가 COMPLETED 가 되고 매칭 대상에 포함됩니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,20. Freelancer,사용자,GET,/api/v1/freelancers/me/resume/pdf,내 이력서 PDF,FREELANCER,,,,string,화면의 'PDF 보기' 버튼이 호출합니다. 다운로드 URL을 반환합니다.,스켈레톤,04. File,FreelancerController
B. 계정·마이페이지,1,21. Client,사용자,GET,/api/v1/clients/me,마이페이지 조회,CLIENT,,,,ClientMyPageResponse,기업 정보와 등급·평점 요약을 함께 반환합니다.,스켈레톤,04. File,ClientController
B. 계정·마이페이지,1,21. Client,사용자,PATCH,/api/v1/clients/me,마이페이지 수정,CLIENT,,,"ClientProfileUpdateRequest: companyName*, employeeCount*, phone, logoFileId, address",ClientMyPageResponse,이메일 인증(purpose=PROFILE_UPDATE)을 마친 뒤 호출해야 합니다. 사업자등록번호·사업 분야·이메일·대표자명은 수정할 수 없습니다.,스켈레톤,04. File,ClientController
C. 프로젝트·매칭,2,10. Project,사용자,POST,/api/v1/projects,프로젝트 등록,CLIENT,,,"ProjectCreateRequest: title*, positions*{jobCategory*, jobRole*, minCareerYears, headcount, skills*, preferredNote}[], startDesiredDate, startNegotiable, periodValue, periodUnit*, budgetAmount*, workStyle*, workForm*, workLocation, currentSituation*, mainTask*, detailScope, extraNote, fileIds, noticeAgreed",ProjectResponse,"등록 직후 상태는 REGISTERED 이며, 착수금 수수료를 결제해야 모집이 시작됩니다.",스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,관리자,GET,/api/v1/projects/admin,[관리자] 프로젝트 목록,ADMIN,,"status(REGISTERED/RECRUITING/NEGOTIATING/CONTRACT_PENDING/IN_PROGRESS/COMPLETION_PENDING/CLOSED/CANCELED), keyword, page, size",,PageResponseProjectSummaryResponse,상태 필터와 키워드 검색을 지원합니다. ROLE_ADMIN 전용입니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,관리자,GET,/api/v1/projects/admin/status-counts,[관리자] 상태별 건수,ADMIN,,,,ProjectTabCountResponse[],관리자 목록 탭은 상태 하나에 대응합니다. 건수가 0인 상태도 내려갑니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,관리자,GET,/api/v1/projects/admin/{projectId},[관리자] 프로젝트 상세,ADMIN,projectId*,,,ProjectResponse,,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,GET,/api/v1/projects/mine,내 프로젝트 목록,CLIENT,,"tab(REGISTERED/MATCHING/IN_PROGRESS/COMPLETION_PENDING/CLOSED/CANCELED), page, size",,PageResponseProjectSummaryResponse,화면의 탭 하나가 여러 상태를 묶습니다. 예: MATCHING = 모집 중 + 협상 중 + 계약 대기. tab 을 비우면 전체입니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,GET,/api/v1/projects/mine/tab-counts,내 프로젝트 탭별 건수,CLIENT,,,,ProjectTabCountResponse[],탭 옆 배지 숫자입니다. 건수가 0인 탭도 내려갑니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,POST,/api/v1/projects/pre-review,AI 사전 검수 (등록 5단계),CLIENT,,,"ProjectPreReviewRequest: positions*{jobCategory*, jobRole*, minCareerYears, headcount, skills*, preferredNote}[]",ProjectPreReviewResponse,입력한 직군 조건으로 직군별 예상 후보 수와 매칭 가능 여부를 안내합니다. 후보가 부족해도 그대로 등록할 수 있습니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,GET,/api/v1/projects/{projectId},프로젝트 상세 조회,로그인,projectId*,,,ProjectResponse,,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,PUT,/api/v1/projects/{projectId},프로젝트 수정,CLIENT,projectId*,,"ProjectUpdateRequest: title*, positions*{jobCategory*, jobRole*, minCareerYears, headcount, skills*, preferredNote}[], startDesiredDate, startNegotiable, periodValue, periodUnit*, budgetAmount*, workStyle*, workForm*, workLocation, currentSituation*, mainTask*, detailScope, extraNote, fileIds",ProjectResponse,등록 시 입력값을 모두 수정할 수 있습니다. 진행 중인 매칭에는 매칭 시작 시점 정보가 적용됩니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,POST,/api/v1/projects/{projectId}/cancellation,프로젝트 취소,CLIENT,projectId*,,,없음,모집·협상·계약을 더 이상 진행하지 않습니다. 계약 체결 이후에는 위약금이 발생할 수 있습니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,POST,/api/v1/projects/{projectId}/completion,프로젝트 완료 처리,CLIENT,projectId*,,,ProjectResponse,모든 계약이 완료된 뒤 프로젝트를 닫습니다. 성공보수 수수료 정산이 생성되고 리뷰 작성이 열립니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,GET,/api/v1/projects/{projectId}/pre-review,등록 후 검수 결과 조회,CLIENT,projectId*,,,ProjectPreReviewResponse,등록된 포지션 기준으로 다시 집계합니다. 착수금 결제 여부 판단에 사용합니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,POST,/api/v1/projects/{projectId}/recruit-close,모집 종료,CLIENT,projectId*,,,ProjectResponse,남은 모집 기간과 무관하게 모집을 닫습니다. 이미 진행 중인 협상과 계약은 그대로 이어집니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,POST,/api/v1/projects/{projectId}/recruit-extensions,모집 기간 연장,CLIENT,projectId*,,,ProjectResponse,1주 단위로 최대 2회 연장합니다. 상한을 넘기면 클라이언트 파기로 간주되어 위약금이 발생합니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,10. Project,사용자,POST,/api/v1/projects/{projectId}/termination,프로젝트 중도 종료,CLIENT,projectId*,,,ProjectResponse,진행 중인 계약이 남아 있는 상태에서 닫습니다. 계약별로 위약금이 발생할 수 있습니다.,스켈레톤,04. File,ProjectController
C. 프로젝트·매칭,2,11. Matching,사용자,POST,/api/v1/matchings/candidates/{candidateId}/rejection,추천 후보 거절,CLIENT,candidateId*,,,CandidateListResponse,해당 후보와는 매칭을 진행하지 않습니다. 거절한 후보는 다시 추천되지 않습니다. 추천된 후보를 모두 거절하면 무료 재추천이 활성화됩니다.,스켈레톤,10. Project,MatchingController
C. 프로젝트·매칭,2,11. Matching,사용자,GET,/api/v1/matchings/positions/{positionId}/candidates,추천 후보 조회,CLIENT,positionId*,,,CandidateListResponse,가장 최근 추천 라운드의 후보를 반환합니다. 노출 수는 모집 인원을 넘지 않으며 클라이언트 등급에 따라 달라집니다.,스켈레톤,10. Project,MatchingController
C. 프로젝트·매칭,2,11. Matching,사용자,POST,/api/v1/matchings/positions/{positionId}/rerecommendations,재추천 요청,CLIENT,positionId*,,"RerecommendRequest: type*, quantity",CandidateListResponse,"FREE 는 요청 후보 전원 거절 시 프로젝트당 1회, PAID 는 최대 5회(1명당 10,000원)입니다. 이전에 노출된 후보는 제외됩니다.",스켈레톤,10. Project,MatchingController
C. 프로젝트·매칭,2,11. Matching,사용자,GET,/api/v1/matchings/requests,보낸 매칭 요청 목록,CLIENT,,"projectId, positionId, status(REQUEST_PENDING/REJECTED/ACCEPTED/NEGOTIATING/NEGOTIATION_FAILED/CONTRACT_PENDING/CONTRACTED/IN_PROGRESS/COMPLETION_PENDING/CLOSED/TERMINATED), page, size",,PageResponseMatchingRequestResponse,프로젝트 또는 포지션 기준으로 조회합니다.,스켈레톤,10. Project,MatchingController
C. 프로젝트·매칭,2,11. Matching,사용자,POST,/api/v1/matchings/requests,매칭 요청 발송,CLIENT,,,"MatchingRequestCreateRequest: positionId*, candidateIds*",MatchingRequestResponse[],"선택한 후보에게 요청을 보냅니다. 모집 인원을 초과해 선택할 수 없고, 3일 뒤 자동 만료됩니다.",스켈레톤,10. Project,MatchingController
C. 프로젝트·매칭,2,11. Matching,사용자,GET,/api/v1/matchings/requests/received,받은 매칭 요청 목록,FREELANCER,,"tab(ALL/REVIEWING/NEGOTIATING/CLOSED), page, size",,PageResponseMatchingRequestResponse,프리랜서 메인의 '요청받은 프로젝트'에 해당합니다.,스켈레톤,10. Project,MatchingController
C. 프로젝트·매칭,2,11. Matching,사용자,GET,/api/v1/matchings/requests/{requestId},매칭 요청 상세,로그인,requestId*,,,MatchingRequestResponse,요청에 걸린 프로젝트 조건과 상대 정보를 함께 봅니다.,스켈레톤,10. Project,MatchingController
C. 프로젝트·매칭,2,11. Matching,사용자,POST,/api/v1/matchings/requests/{requestId}/acceptance,매칭 요청 수락,FREELANCER,requestId*,,,MatchingRequestResponse,수락하면 해당 포지션 협상방이 생성되고 협상이 시작됩니다. 전원 수락을 기다리지 않습니다.,스켈레톤,10. Project,MatchingController
C. 프로젝트·매칭,2,11. Matching,사용자,POST,/api/v1/matchings/requests/{requestId}/rejection,매칭 요청 거절,FREELANCER,requestId*,,MatchingRejectRequest: reason,MatchingRequestResponse,거절하면 해당 프로젝트의 재추천 대상에서 제외됩니다.,스켈레톤,10. Project,MatchingController
D. 협상·계약·채팅,3,12. Negotiation,관리자,GET,/api/v1/negotiations/admin,[관리자] 협상 목록,ADMIN,,"status(IN_PROGRESS/AGREED/FAILED), keyword, page, size",,PageResponseNegotiationSummaryResponse,프로젝트명·클라이언트·프리랜서로 검색하고 상태로 필터링합니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,관리자,GET,/api/v1/negotiations/admin/summary,[관리자] 협상 요약,ADMIN,,,,NegotiationAdminSummaryResponse,AI Agent 관리 화면 상단 카드입니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,관리자,GET,/api/v1/negotiations/admin/{negotiationId},[관리자] 협상 상세,ADMIN,negotiationId*,,,NegotiationAdminDetailResponse,"기본 정보와 최종 협상 결과, 라운드별 제안·응답 로그를 반환합니다. 화면의 '협상 로그' 탭입니다.",스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,관리자,GET,/api/v1/negotiations/admin/{negotiationId}/messages,[관리자] AI 협상 로그 조회,ADMIN,negotiationId*,,,NegotiationMessageResponse[],A2A 협상 과정에서 생성된 제안·이유·응답을 봅니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,관리자,GET,/api/v1/negotiations/admin/{negotiationId}/raw-logs,[관리자] AI 원본 로그,ADMIN,negotiationId*,,,AgentRawLogResponse[],ai_agent_log 를 가공 없이 반환합니다. 화면의 '원본 로그' 탭이며 장애 분석용입니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,사용자,GET,/api/v1/negotiations/mine,내 협상 목록,로그인,,"status(IN_PROGRESS/AGREED/FAILED), page, size",,PageResponseNegotiationSummaryResponse,클라이언트·프리랜서 모두 자기 기준으로 조회합니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,사용자,GET,/api/v1/negotiations/{negotiationId},협상 상세,로그인,negotiationId*,,,NegotiationResponse,협상 대상 조건과 현재 라운드를 반환합니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,사용자,POST,/api/v1/negotiations/{negotiationId}/answers,조건 응답 제출,로그인,negotiationId*,,"NegotiationAnswerRequest: roundNo*, answers*{conditionId*, accepted*, proposedValue}[]",NegotiationResponse,AI 가 묶어서 보낸 조건들에 한 번에 응답합니다. 거절 시 직접 입력값이 필요합니다. 응답하면 다음 AI 제안이 생성됩니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,사용자,POST,/api/v1/negotiations/{negotiationId}/final-approval,최종 승인/거부,로그인,negotiationId*,,NegotiationFinalApprovalRequest: approved*,NegotiationResponse,라운드 상한 소진 후 마지막 조건에 대해 승인 또는 거부합니다. 양측 모두 승인해야 계약으로 넘어갑니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,사용자,POST,/api/v1/negotiations/{negotiationId}/give-up,협상 포기,로그인,negotiationId*,,NegotiationGiveUpRequest: reason,NegotiationResponse,즉시 협상 결렬로 종료됩니다. 클라이언트는 유료 재추천으로 다시 찾아야 합니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,사용자,GET,/api/v1/negotiations/{negotiationId}/messages,협상 로그 조회,로그인,negotiationId*,,,NegotiationMessageResponse[],AI 제안·근거·응답이 시간순으로 남습니다. 협상 중에도 조회할 수 있습니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,12. Negotiation,사용자,POST,/api/v1/negotiations/{negotiationId}/start,협상 시작 (마지노선 설정),로그인,negotiationId*,,"NegotiationStartRequest: conditions*{conditionType*, value*}[]",NegotiationResponse,상대 AI 의 초기 제안을 확인한 뒤 쟁점별 최소 조건을 정해 협상을 시작합니다. 마지노선은 상대에게 노출되지 않고 내 에이전트의 하한으로만 쓰입니다.,스켈레톤,11. Matching,NegotiationController
D. 협상·계약·채팅,3,13. Chat,사용자,GET,/api/v1/chat-rooms,내 채팅방 목록,로그인,,,,ChatRoomResponse[],메인 헤더의 메시지 목록에 사용합니다.,스켈레톤,12. Negotiation,ChatController
D. 협상·계약·채팅,3,13. Chat,사용자,GET,/api/v1/chat-rooms/unread-count,안 읽은 메시지 수,로그인,,,,ChatUnreadCountResponse,헤더 메시지 아이콘의 배지 숫자입니다. 모든 채팅방의 미읽음 합계를 반환합니다.,스켈레톤,12. Negotiation,ChatController
D. 협상·계약·채팅,3,13. Chat,사용자,GET,/api/v1/chat-rooms/{chatRoomId},채팅방 상세,로그인,chatRoomId*,,,ChatRoomResponse,,스켈레톤,12. Negotiation,ChatController
D. 협상·계약·채팅,3,13. Chat,사용자,POST,/api/v1/chat-rooms/{chatRoomId}/leave,채팅방 나가기,로그인,chatRoomId*,,,없음,협상 결렬 후 또는 대금 지급이 끝난 뒤에만 나갈 수 있습니다.,스켈레톤,12. Negotiation,ChatController
D. 협상·계약·채팅,3,13. Chat,사용자,GET,/api/v1/chat-rooms/{chatRoomId}/messages,메시지 목록,로그인,chatRoomId*,"page, size",,PageResponseChatMessageResponse,최신순 페이지 조회입니다. 과거 메시지는 page 를 늘려 가져옵니다.,스켈레톤,12. Negotiation,ChatController
D. 협상·계약·채팅,3,13. Chat,사용자,POST,/api/v1/chat-rooms/{chatRoomId}/messages,메시지 전송,로그인,chatRoomId*,,ChatMessageSendRequest: content*,ChatMessageResponse,협상이 완료되어 입력창이 열린 방에서만 보낼 수 있습니다. 한 번에 500자까지입니다.,스켈레톤,12. Negotiation,ChatController
D. 협상·계약·채팅,3,13. Chat,사용자,POST,/api/v1/chat-rooms/{chatRoomId}/read,읽음 처리,로그인,chatRoomId*,,,없음,마지막 읽은 시각을 현재로 갱신합니다.,스켈레톤,12. Negotiation,ChatController
D. 협상·계약·채팅,3,14. Contract,사용자,GET,/api/v1/contracts,내 계약 목록,로그인,,"status(DRAFT/SIGN_PENDING/SIGNED/COMPLETED/REJECTED/TERMINATED), page, size",,PageResponseContractSummaryResponse,헤더의 계약관리 화면에 사용합니다.,스켈레톤,12. Negotiation,ContractController
D. 협상·계약·채팅,3,14. Contract,사용자,GET,/api/v1/contracts/{contractId},계약 상세,로그인,contractId*,,,ContractResponse,계약서 본문에 들어가는 조건과 양측 서명 현황을 반환합니다.,스켈레톤,12. Negotiation,ContractController
D. 협상·계약·채팅,3,14. Contract,사용자,POST,/api/v1/contracts/{contractId}/completion,프로젝트 완료 처리,CLIENT,contractId*,,,ContractResponse,클라이언트가 완료를 누르면 상태가 완료 대기로 바뀌고 성공보수 수수료 결제가 열립니다.,스켈레톤,12. Negotiation,ContractController
D. 협상·계약·채팅,3,14. Contract,사용자,GET,/api/v1/contracts/{contractId}/pdf,계약서 PDF 다운로드 정보,로그인,contractId*,,,ContractFileResponse,체결 완료 후 내려받을 수 있는 URL 을 반환합니다.,스켈레톤,12. Negotiation,ContractController
D. 협상·계약·채팅,3,14. Contract,사용자,POST,/api/v1/contracts/{contractId}/rejection,계약 서명 거부,로그인,contractId*,,ContractRejectRequest: reason*,ContractResponse,거부하면 상대에게 알림이 가고 해당 매칭은 종료됩니다.,스켈레톤,12. Negotiation,ContractController
D. 협상·계약·채팅,3,14. Contract,사용자,POST,/api/v1/contracts/{contractId}/signature,계약 서명,로그인,contractId*,,ContractSignRequest: agreed,ContractResponse,양측이 모두 서명하면 체결되고 착수금 수수료가 발생합니다.,스켈레톤,12. Negotiation,ContractController
D. 협상·계약·채팅,3,14. Contract,사용자,POST,/api/v1/contracts/{contractId}/termination,계약 중도 파기,로그인,contractId*,,"ContractTerminateRequest: reason*, workedAmount*",ContractResponse,수행분 정산과 별도로 파기 주체가 상대방 10% · 플랫폼 10%의 위약금을 부담합니다.,스켈레톤,12. Negotiation,ContractController
A. 공통·기반,4,05. Home,사용자,GET,/api/v1/home/faqs,자주 찾는 질문,비로그인,,,,FaqResponse[],,스켈레톤,16. Review,HomeController
A. 공통·기반,4,05. Home,사용자,GET,/api/v1/home/site-reviews,메인 노출 리뷰,비로그인,,size,,SiteReviewResponse[],관리자가 공개로 설정한 4점 이상 리뷰만 반환합니다. 작성자명은 마스킹됩니다.,스켈레톤,16. Review,HomeController
A. 공통·기반,4,05. Home,사용자,GET,/api/v1/home/summary,메인 지표 조회,비로그인,,,,HomeSummaryResponse,완수율·누적 프로젝트·누적 협상 등 메인 상단 숫자입니다.,스켈레톤,16. Review,HomeController
A. 공통·기반,4,07. Grade,사용자,GET,/api/v1/grades,등급 기준표,비로그인,,role*(CLIENT/FREELANCER/ADMIN),,GradeResponse[],역할별 등급과 승급 조건·유지 기준·혜택·수수료율입니다. 로그인 없이 조회할 수 있습니다.,스켈레톤,16. Review,GradeController
A. 공통·기반,4,07. Grade,사용자,GET,/api/v1/grades/me,내 등급 현황,로그인,,,,MyGradeResponse,현재 등급과 다음 등급까지 남은 조건입니다. 등급은 매월 자동 재산정됩니다.,스켈레톤,16. Review,GradeController
E. 정산·리뷰·고객지원,4,15. Settlement,관리자,GET,/api/v1/settlements/admin,[관리자] 정산 목록,ADMIN,,"settlementNo, payerRole(CLIENT/FREELANCER), phase(DEPOSIT/SUCCESS_FEE), status(PENDING/PAID/OVERDUE/FAILED), page, size",,PageResponseSettlementResponse,"정산번호 검색, 납부자 구분·단계·상태 필터를 지원합니다.",스켈레톤,"06. Account, 14. Contract",SettlementController
E. 정산·리뷰·고객지원,4,15. Settlement,관리자,GET,/api/v1/settlements/admin/summary,[관리자] 정산 집계,ADMIN,,,,SettlementSummaryResponse,"총 수익, 이번 달 수익, 결제 예정·미납·실패, 위약금 수수료입니다.",스켈레톤,"06. Account, 14. Contract",SettlementController
